,Data do Negócio,Tipo de Movimentação,Mercado,Prazo/Vencimento,Instituição,Código de Negociação,Quantidade,Preço,Valor
0,25/10/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,VGHF11,3,9.68,29.04
1,17/10/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,VGHF11,7,9.31,65.17
2,07/10/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,BTLG11,3,102.19,306.57
3,07/10/2022,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,KLBN11F,15,18.8,282.0
4,07/10/2022,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,NEOE3F,10,15.39,153.9
5,07/10/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,VGIP11,2,91.05,182.1
6,27/09/2022,Compra,Mercado Fracionário,-,XP INVESTIMENTOS CCTVM S/A,MOVI3F,14,12.7,177.8
7,23/09/2022,Venda,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,MXRF11,16,10.3,164.8
8,20/09/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,MXRF11,2,10.29,20.58
9,16/09/2022,Compra,Mercado à Vista,-,XP INVESTIMENTOS CCTVM S/A,MXRF11,2,10.23,20.46
10,06/09/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,3,10.19,30.57
11,06/09/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,VGIP11,3,91.77,275.31
12,06/09/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,VGIP11,6,91.77,550.62
13,29/08/2022,Venda,Mercado Fracionário,-,CLEAR CORRETORA - GRUPO XP,ITSA4F,26,9.3,241.8
14,17/08/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,1,9.97,9.97
15,12/08/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,2,9.91,19.82
16,03/08/2022,Compra,Mercado Fracionário,-,CLEAR CORRETORA - GRUPO XP,ITSA4F,2,8.6,17.2
17,03/08/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,VGIP11,6,96.69,580.14
18,26/07/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,1,9.77,9.77
19,20/07/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,1,9.64,9.64
20,14/07/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,2,9.69,19.38
21,05/07/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,BTLG11,2,99.41,198.82
22,05/07/2022,Compra,Mercado Fracionário,-,CLEAR CORRETORA - GRUPO XP,ITSA4F,13,8.18,106.34
23,05/07/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,VGIP11,3,98.45,295.35
24,24/06/2022,Compra,Mercado Fracionário,-,CLEAR CORRETORA - GRUPO XP,ITSA4F,2,8.7,17.4
25,13/06/2022,Compra,Mercado Fracionário,-,CLEAR CORRETORA - GRUPO XP,ITSA4F,9,8.83,79.47
26,13/06/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MFII11,10,95.51,955.1
27,13/06/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,XPML11,10,97.3,973.0
28,09/06/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,BTLG11,5,101.75,508.75
29,09/06/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,XPLG11,4,95.98,383.92
30,09/06/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,XPLG11,1,95.97,95.97
31,05/05/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,MXRF11,2,9.72,19.44
32,04/05/2022,Compra,Mercado à Vista,-,CLEAR CORRETORA - GRUPO XP,XPLG11,5,95.57,477.85
